custid,group
0,M30
2,M30
3,F20
4,F20
5,M40
6,M50
9,F20
10,F30
14,F30
15,F30
16,M30
18,F30
19,F30
20,M30
24,M20
25,F20
26,F20
27,F30
28,F20
31,M30
33,M50
34,M40
35,M50
37,M40
38,M50
39,M40
40,F40
43,F20
44,F30
45,F30
47,F20
48,F40
49,F20
51,F30
53,M20
56,M20
58,F20
59,M50
60,F30
61,M40
62,F30
63,M30
65,F20
66,F50
67,F50
68,F20
69,F20
70,F30
75,F40
76,F40
77,F20
79,F30
80,F50
81,F40
82,F20
83,F40
84,M20
85,F20
86,F20
87,F20
88,M50
89,F20
90,F20
91,F30
92,F30
94,M30
97,F40
98,M30
99,F30
100,F30
101,M50
102,F20
103,F20
105,M40
107,M30
108,M30
109,F20
112,F40
114,F20
115,F20
116,F50
118,F40
123,M30
124,F20
125,F40
126,F20
127,F30
129,M50
130,F30
131,F20
132,M30
133,F20
135,M50
136,M30
137,F40
138,F20
139,F30
140,F20
141,F30
142,F40
143,F30
144,F30
145,M30
146,F30
148,M50
150,F50
151,M40
153,F40
156,M50
157,F20
158,M50
160,F30
161,F20
162,F30
163,F30
164,F30
166,F20
169,F20
170,M30
171,F20
172,F20
173,F20
174,F30
175,M20
176,F30
177,F30
178,F30
180,M30
182,F50
183,F30
187,F40
188,F30
190,F40
191,F30
192,F20
193,M20
195,F20
196,M30
198,F50
199,F40
200,F30
201,F20
202,M30
203,F30
204,F30
205,F20
206,M40
208,F40
211,M20
212,F40
213,F40
214,M30
216,M50
217,F20
218,M40
219,F50
220,F20
222,M50
223,F20
225,F20
226,F40
227,M20
228,F30
229,F30
230,M50
232,F40
233,M30
235,F20
236,M50
237,F30
238,F30
239,F40
241,M30
242,F30
244,F40
245,F40
246,M40
247,F30
250,M50
251,F20
252,M40
253,M30
256,F30
257,F20
258,M40
259,F30
260,M40
262,F20
265,F20
266,F20
267,F30
268,F20
269,M30
270,F20
271,M20
272,F20
273,F50
274,F20
275,F50
276,F20
277,F30
278,M30
280,F20
281,F50
282,F50
283,F40
285,F20
286,F20
287,F20
288,F20
289,M50
291,M30
292,M30
293,M30
295,F30
297,F50
302,M30
303,F30
304,F20
306,M40
307,F30
308,F30
309,M30
310,F30
312,M40
313,F30
314,F40
315,M50
316,F20
317,F50
319,F30
320,F20
322,M30
324,F20
325,F30
326,M30
327,F20
328,M30
329,F20
330,F30
332,F50
334,F20
335,F20
336,M40
337,M40
338,M50
340,F20
342,F20
343,M30
344,M40
345,F30
346,F30
347,F30
348,F30
350,F20
351,F30
353,M50
354,F30
355,F40
356,M30
358,F20
359,F20
360,F30
362,M30
364,M30
366,F20
367,F30
368,F30
369,F30
370,F20
371,F20
373,F20
375,F30
376,F20
377,M40
378,F50
379,F30
380,F30
381,M20
382,F30
383,M30
386,F40
387,F40
388,M50
389,F30
390,F40
391,F40
393,M30
394,F20
395,F20
396,F50
397,M50
398,F30
399,M30
400,F30
402,M30
403,F30
404,F20
406,F50
407,F40
408,M30
409,F40
411,F20
412,M50
413,F30
414,M50
415,F40
416,F20
418,F30
420,M50
422,F20
423,F20
424,M30
425,F30
427,F20
428,F20
429,F30
430,F40
431,F50
433,F20
435,M40
436,F30
437,M40
438,M40
439,M40
440,F20
442,M30
444,F20
445,F30
446,F20
447,F50
448,F30
452,F20
453,M50
456,F20
457,F20
458,M40
459,M30
460,M20
461,F20
462,F20
463,F20
464,F50
465,F20
466,F20
468,F20
469,M30
470,F20
471,M50
472,M50
473,F30
474,M20
475,F30
476,F40
478,M50
480,F20
482,F30
483,M40
484,F30
485,F20
486,M20
487,F20
489,F30
490,F20
491,F20
492,F40
493,F20
494,F20
495,M30
496,M20
497,M30
499,F20
500,F20
501,M50
504,F30
505,F20
506,M20
507,F30
508,F50
509,M30
510,F20
511,F20
512,M40
514,F30
515,F30
516,M40
517,F30
518,F30
520,F50
521,F40
522,F40
523,M20
524,F40
525,M40
526,F20
528,F30
529,M30
530,F30
531,F20
532,F50
533,F20
534,F20
535,M40
537,M40
538,F20
539,F50
540,M40
541,M50
544,M30
545,M50
546,F20
547,F20
548,F50
549,F20
550,F20
551,M50
552,F20
555,F20
558,M40
559,F30
564,F30
565,F30
567,F30
568,F20
569,F20
570,F20
574,F50
577,F20
578,F20
579,F20
581,F40
582,M30
584,M50
586,M20
587,M50
588,M30
589,F30
590,F20
592,F40
593,F20
594,F30
595,F30
596,M30
598,F50
599,M30
600,F50
601,M30
602,M40
604,M30
606,F30
608,F40
609,M40
610,F40
611,M50
612,F50
614,F20
615,F40
616,F30
617,F40
618,M30
619,F20
620,F20
622,F20
623,M30
625,F30
627,M20
628,M50
629,F30
630,F20
631,M30
632,F20
633,M40
634,M30
635,F30
636,F30
638,M30
639,F30
640,F20
641,M30
642,F20
645,M40
646,F20
647,F40
648,M40
649,M20
651,M30
653,F30
655,F20
658,F40
659,F30
661,M30
662,F20
664,F20
665,F30
666,M20
667,F40
668,F30
670,M40
671,F20
676,F20
677,F30
678,F30
679,M50
680,M30
681,F30
682,F30
684,F20
685,F40
686,F30
687,F20
688,F30
690,F50
691,F30
692,M50
695,F20
696,F40
697,F20
698,M40
699,F20
701,M30
704,M40
705,M30
708,F20
709,F20
710,F20
711,M30
714,F20
717,F20
718,F20
719,M30
720,F20
721,F40
722,F40
723,M20
725,F30
726,M40
727,M30
728,F20
729,F20
731,F50
733,F30
734,F20
736,F20
739,M50
742,M30
744,F20
746,M30
747,M30
749,F50
751,F20
754,M20
756,F20
758,F30
759,F20
760,F30
762,F30
763,F40
764,F20
765,M50
766,F20
767,M50
768,F40
769,F20
771,F20
772,F20
773,F50
777,F30
778,F30
779,F20
780,F30
781,F20
783,M40
784,F20
785,M20
786,F20
787,F30
788,F40
789,M50
790,M20
791,F20
793,F20
794,F20
795,M40
796,F40
798,F20
800,F20
801,F30
802,M20
803,F20
804,F20
805,M50
806,M40
808,F40
810,F40
811,F20
812,F30
815,M30
816,F20
819,F40
822,F30
824,M40
825,F20
827,F20
828,F40
829,M30
831,F30
832,F50
834,F40
835,F20
837,M40
838,M30
840,F20
841,F30
842,F30
844,F20
845,M40
846,F40
847,F30
848,F20
849,F40
850,F30
851,F30
852,F20
853,F30
854,F30
856,M30
857,M40
858,M30
859,F20
860,F20
861,M30
862,M20
864,M40
865,F20
866,F20
869,F30
871,F30
872,F20
873,F50
874,M40
879,F20
880,F20
881,F30
882,F20
884,F40
885,F30
886,F40
887,F20
889,M50
890,F20
892,M40
895,F20
896,M30
897,F40
899,F30
900,F40
901,F20
902,M20
903,F50
905,F30
906,F50
907,F40
908,M50
909,F20
